num,tutorial_batch,happy1,ID,time,major,Distance,direction,born,sports,aware,morning_drink,morning_drink2,breakfast,sleep,siblings,siblings_number,pets,beer,coffee,Pineapple_Pizza,Pinky,OS,hand,energy,shoes,phone,Apartment_Size,rooms,apps,countries,CB,Food_Money,Season,Drink_Coffee,height,bother,happy2
225,2024,5,burge31,12.15,UWI,1.6,SE,420.0,1.0,tired,water,water,yes,8,yes,7,9.0,3.0,3,Yes,6.0,Microsoft,19,8.0,9.0,17.0,100,3.0,24.0,11.0,yes,100.0,Spring,Other,167.0,7,6
226,2024,5,brede21a,12.15,UWI,0.2,SW,24.0,2.0,awake,Water,water,yes,9,yes,1,0.0,3.0,2,Yes,5.5,Apple,19,6.0,8.0,14.0,100,2.0,40.0,13.0,No,150.0,Summer,sugar_milk,170.0,3,5
227,2024,5,lange2b,8.15,GESS,3.0,N,47.0,4.0,tired,Water,water,yes,7,yes,1,1.0,2.0,2,No,7.5,Apple,23,3.0,4.0,15.0,60,1.0,68.0,12.0,yes,300.0,Spring,Other,200.0,3,6
228,2024,6,feldb57,12.15,GESS,1.5,N,370.0,3.0,awake,Coffee,coffee,yes,7,yes,1,5.0,4.0,6,No,6.5,Microsoft,19,7.0,12.0,18.0,250,8.0,50.0,13.0,No,250.0,Summer,milk,176.0,8,6
229,2024,7,amfuc4,12.15,UWI,2.4,NW,135.0,3.5,awake,tea,other,yes,8,yes,2,8.0,2.0,2,Yes,6.5,Microsoft,16,7.0,7.0,16.8,132,3.0,45.0,11.0,yes,250.0,Spring,milk,175.0,4,7
230,2024,7,inden19,12.15,UWI,1.0,W,471.0,4.0,tired,water,water,yes,8,yes,3,0.0,5.0,3,Yes,7.0,Microsoft,23,7.0,6.0,17.0,180,3.0,212.0,35.0,yes,180.0,Summer,Other,189.0,9,8
231,2024,8,fritz57,12.15,UWI,1.0,N,600.0,2.0,awake,Coffee,coffee,yes,8,yes,1,0.0,2.0,2,No,6.5,Microsoft,21,7.0,5.0,15.4,210,9.0,,19.0,yes,200.0,Summer,milk,180.0,3,7
232,2024,8,haupt25,12.15,UWI,1.5,N,700.0,4.0,energized,water,water,yes,8,yes,1,0.0,4.0,4,do_not_mind,6.0,Apple,20,8.0,13.0,15.0,17,4.0,60.0,15.0,yes,200.0,Spring,black,180.0,8,8
233,2024,3,aufde22,12.15,UWI,4.0,N,70.0,2.0,tired,water,water,yes,7,yes,2,0.0,4.0,4,Yes,6.0,Microsoft,19,4.0,5.0,16.0,18,3.0,40.0,10.0,yes,150.0,Summer,milk,167.0,3,3
234,2024,3,schwa68,12.15,UWI,2.0,SE,150.0,2.0,tired,Water,water,no,7,yes,1,3.0,3.0,3,No,5.5,Apple,16,2.0,6.0,14.0,30,0.0,104.0,11.0,yes,150.0,Summer,milk,178.0,3,3
235,2024,7,huswe1,12.15,UWI,5.0,SW,700.0,1.0,awake,Water,water,yes,10,yes,2,1.0,1.0,1,do_not_mind,6.0,Apple,19.1,4.0,13.0,12.0,50,1.0,40.0,12.0,yes,40.0,Spring,sugar_milk,175.0,7,7
236,2024,7,haupt10,12.15,UWI,2.5,N,425.0,1.0,awake,water,water,yes,8,yes,1,3.0,2.0,2,do_not_mind,6.0,Microsoft,18.4,6.0,4.0,16.0,110,4.0,60.0,9.0,yes,300.0,Spring,Other,161.0,5,7
237,2024,8,zumho5,12.15,UWI,2.0,N,9.0,4.0,awake,tea,other,yes,8,yes,1,2.0,4.0,4,Yes,6.0,Microsoft,17.8,8.0,15.0,14.8,300,1.0,125.0,10.0,yes,220.0,Spring,milk,170.0,6,8
238,2024,6,amilm20,12.15,UWI,0.6,N,90.0,2.0,awake,Water,water,yes,8,yes,2,0.0,3.0,3,do_not_mind,6.5,Microsoft,20,5.0,5.0,15.5,200,3.0,69.0,12.0,yes,200.0,Summer,milk,173.0,6,7
239,2024,7,schne20,12.15,UWI,0.4,NW,90.0,3.0,tired,coffee,coffee,yes,7,yes,1,0.0,2.0,2,No,6.0,Both,19,6.0,8.0,15.5,200,3.0,35.0,12.0,yes,200.0,Summer,milk,175.0,7,7
240,2024,6,roumi14,12.15,GESS,2.3,N,8900.0,6.0,awake,kombucha,other,yes,8,yes,1,0.0,3.0,3,Yes,6.0,Apple,19,6.0,5.0,11.93,32,3.0,37.0,11.0,yes,550.0,Spring,sugar_milk,188.0,5,6
